epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,4473.85,0.70319,1.12055,1.19674,0.71811,0.48076,0.55012,0.36132,0.74366,0.99696,1.02248,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4702.45,0.70076,1.12008,1.19413,0.72589,0.47745,0.563,0.37056,0.73696,0.98522,1.0187,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4929.73,0.69788,1.10581,1.19124,0.72906,0.48237,0.55871,0.36725,0.74538,0.97505,1.01971,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5161,0.69579,1.10778,1.19222,0.6911,0.53576,0.58145,0.38021,0.73626,0.96444,1.01216,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5390.29,0.69748,1.10363,1.19208,0.70088,0.53988,0.58072,0.38263,0.7398,0.95628,1.02105,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5625.49,0.68903,1.0905,1.18733,0.66833,0.52742,0.57661,0.38254,0.73926,0.95314,1.01334,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5857.86,0.69127,1.08865,1.18999,0.74365,0.51977,0.59277,0.39614,0.73341,0.95627,1.0052,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6089.99,0.69059,1.09741,1.18569,0.71313,0.53684,0.60084,0.39595,0.72581,0.93832,1.00956,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6320.23,0.68462,1.08439,1.18492,0.70269,0.54268,0.60838,0.40455,0.72292,0.94366,0.99896,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6554.51,0.67638,1.07613,1.18023,0.66135,0.54497,0.60887,0.40978,0.71828,0.92904,0.99846,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6785.89,0.68354,1.07577,1.18558,0.67361,0.54474,0.61344,0.41406,0.71556,0.93134,0.99409,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,7026.23,0.67996,1.06864,1.18034,0.67513,0.54649,0.62038,0.42033,0.72827,0.91738,1.0044,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2191.73,0.66755,1.04311,1.17257,0.71123,0.54936,0.62825,0.43007,0.7146,0.90154,0.99451,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2425.45,0.66814,1.04131,1.17227,0.73359,0.54822,0.63843,0.43783,0.70946,0.90218,0.98916,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2657.95,0.65984,1.03031,1.16435,0.75918,0.54368,0.64349,0.43799,0.70542,0.91129,0.98975,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2888.05,0.6658,1.03013,1.1713,0.71366,0.55658,0.64476,0.44074,0.71341,0.8919,0.99272,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3119.11,0.66415,1.03102,1.16869,0.73885,0.55919,0.64968,0.4441,0.70828,0.88608,0.98808,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3351.2,0.65789,1.02155,1.16402,0.70652,0.55865,0.64277,0.4433,0.7084,0.88315,0.98677,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,379.04,inf,0.97139,1.15191,0.75448,0.58009,0.66654,0.4594,0.70898,0.85857,0.98475,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,612.264,0.63566,0.96721,1.14994,0.71762,0.57441,0.66153,0.46018,0.70707,0.85428,0.98191,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,842.45,0.6291,0.96004,1.14266,0.72822,0.58765,0.67654,0.46085,0.70098,0.86387,0.98212,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,1067.71,0.63276,0.95801,1.14882,0.70491,0.59109,0.67487,0.4629,0.70978,0.85451,0.98895,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,1291.55,0.63506,0.95654,1.14874,0.71935,0.59644,0.68023,0.46977,0.71378,0.84151,0.98845,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,1516.83,0.63789,0.96602,1.15078,0.72644,0.58041,0.67095,0.46234,0.71157,0.84754,0.98694,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,1749.95,0.65464,1.00694,1.16376,0.74117,0.5969,0.68483,0.47456,0.69622,0.84905,0.97644,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,1979.45,0.65707,1.00245,1.16278,0.74793,0.61101,0.69394,0.48013,0.69602,0.84829,0.97759,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2207.8,0.6445,0.99414,1.15762,0.71596,0.59933,0.67811,0.47529,0.69193,0.84428,0.97228,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,2436.07,0.64735,0.99433,1.16061,0.74461,0.58835,0.686,0.48058,0.68892,0.84142,0.97207,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,2669.1,0.6486,0.99346,1.15718,0.73419,0.59671,0.69241,0.48426,0.68801,0.83499,0.97066,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2903.54,0.64151,0.98234,1.15605,0.7157,0.60377,0.69277,0.48584,0.68314,0.83248,0.96446,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3134.16,0.63116,0.97733,1.15001,0.73158,0.61466,0.70092,0.4946,0.67878,0.8276,0.96322,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,3366.69,0.63807,0.9744,1.15506,0.73155,0.61471,0.70647,0.50047,0.67541,0.82427,0.95908,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
